Timestamp,Machine_ID,Temperature_C,Vibration_mm_s,Voltage_V,Current_A,Power_Consumption_kW,Fault_Occurred,Error_Code
2026-05-18 20:32:58.283160,Stamping-Press-C,130.21,11.4,408.99,174.29,104.94,1,ERR-TEMP-HIGH
2026-05-18 20:34:58.283160,Cooling-Tower-D,91.45,4.23,410.05,113.0,68.21,0,NONE
2026-05-18 20:36:58.283160,Induction-Furnace-A,90.56,4.66,410.87,114.54,69.29,0,NONE
2026-05-18 20:38:58.283160,Stamping-Press-C,85.9,4.93,415.23,108.45,66.29,0,NONE
2026-05-18 20:40:58.283160,Stamping-Press-C,83.03,4.04,415.39,114.77,70.18,0,NONE
2026-05-18 20:42:58.283160,Cooling-Tower-D,83.49,4.44,422.72,135.49,84.32,0,NONE
2026-05-18 20:44:58.283160,Induction-Furnace-A,83.05,4.45,416.93,109.29,67.08,0,NONE
2026-05-18 20:46:58.283160,Induction-Furnace-A,96.34,5.16,401.46,128.18,75.76,0,NONE
2026-05-18 20:48:58.283160,Stamping-Press-C,90.94,3.65,416.31,105.52,64.67,0,NONE
2026-05-18 20:50:58.283160,Heavy-Extruder-B,55.6,4.46,407.75,117.16,70.33,0,NONE
2026-05-18 20:52:58.283160,Stamping-Press-C,91.56,6.03,410.17,124.86,75.4,0,NONE
2026-05-18 20:54:58.283160,Stamping-Press-C,86.95,5.43,410.94,105.05,63.55,0,NONE
2026-05-18 20:56:58.283160,Stamping-Press-C,84.81,5.58,411.68,100.32,60.8,0,NONE
2026-05-18 20:58:58.283160,Stamping-Press-C,81.11,4.52,408.12,127.38,76.53,0,NONE
2026-05-18 21:00:58.283160,Cooling-Tower-D,96.24,4.76,416.02,136.85,83.81,0,NONE
2026-05-18 21:02:58.283160,Induction-Furnace-A,94.48,5.3,407.95,118.81,71.36,0,NONE
2026-05-18 21:04:58.283160,Cooling-Tower-D,77.27,5.75,416.78,113.14,69.42,0,NONE
2026-05-18 21:06:58.283160,Cooling-Tower-D,89.07,2.94,426.18,122.34,76.76,0,NONE
2026-05-18 21:08:58.283160,Cooling-Tower-D,75.28,3.45,408.35,120.83,72.64,0,NONE
2026-05-18 21:10:58.283160,Stamping-Press-C,71.2,5.55,413.58,123.64,75.28,0,NONE
2026-05-18 21:12:58.283160,Heavy-Extruder-B,78.73,4.28,402.38,82.08,48.62,0,NONE
2026-05-18 21:14:58.283160,Induction-Furnace-A,93.62,3.96,413.5,103.96,63.29,0,NONE
2026-05-18 21:16:58.283160,Heavy-Extruder-B,94.53,3.5,418.21,107.32,66.08,0,NONE
2026-05-18 21:18:58.283160,Cooling-Tower-D,90.13,4.06,418.6,122.26,75.35,0,NONE
2026-05-18 21:20:58.283160,Cooling-Tower-D,92.25,3.38,415.39,122.79,75.09,0,NONE
2026-05-18 21:22:58.283160,Heavy-Extruder-B,90.16,6.17,419.45,129.54,79.99,0,NONE
2026-05-18 21:24:58.283160,Heavy-Extruder-B,78.59,4.48,427.73,123.86,78.0,0,NONE
2026-05-18 21:26:58.283160,Heavy-Extruder-B,89.32,4.45,423.56,100.49,62.66,0,NONE
2026-05-18 21:28:58.283160,Cooling-Tower-D,93.0,4.97,412.39,141.71,86.03,0,NONE
2026-05-18 21:30:58.283160,Cooling-Tower-D,92.54,5.27,407.74,139.08,83.49,0,NONE
2026-05-18 21:32:58.283160,Induction-Furnace-A,96.89,5.26,412.97,101.13,61.48,0,NONE
2026-05-18 21:34:58.283160,Induction-Furnace-A,92.08,5.36,410.27,124.99,75.49,0,NONE
2026-05-18 21:36:58.283160,Cooling-Tower-D,88.51,4.0,417.26,111.07,68.23,0,NONE
2026-05-18 21:38:58.283160,Heavy-Extruder-B,95.7,4.26,409.09,122.08,73.53,0,NONE
2026-05-18 21:40:58.283160,Heavy-Extruder-B,84.73,5.12,414.64,135.8,82.9,0,NONE
2026-05-18 21:42:58.283160,Induction-Furnace-A,76.18,4.08,419.19,151.95,93.77,0,NONE
2026-05-18 21:44:58.283160,Cooling-Tower-D,83.37,4.5,414.5,131.27,80.1,0,NONE
2026-05-18 21:46:58.283160,Induction-Furnace-A,77.55,4.82,410.27,124.42,75.15,0,NONE
2026-05-18 21:48:58.283160,Induction-Furnace-A,78.25,5.13,420.87,114.9,71.19,0,NONE
2026-05-18 21:50:58.283160,Stamping-Press-C,83.55,3.08,405.61,122.73,73.29,0,NONE
2026-05-18 21:52:58.283160,Stamping-Press-C,77.08,5.07,413.36,140.4,85.44,0,NONE
2026-05-18 21:54:58.283160,Stamping-Press-C,81.92,4.31,414.79,119.33,72.87,0,NONE
2026-05-18 21:56:58.283160,Heavy-Extruder-B,66.06,5.07,415.08,106.71,65.21,0,NONE
2026-05-18 21:58:58.283160,Cooling-Tower-D,87.13,5.12,415.9,95.7,58.6,0,NONE
2026-05-18 22:00:58.283160,Cooling-Tower-D,85.01,5.79,418.05,127.7,78.59,0,NONE
2026-05-18 22:02:58.283160,Cooling-Tower-D,76.83,5.58,414.82,123.71,75.55,0,NONE
2026-05-18 22:04:58.283160,Cooling-Tower-D,91.59,5.58,413.16,110.31,67.1,0,NONE
2026-05-18 22:06:58.283160,Stamping-Press-C,94.38,5.65,412.96,135.39,82.31,0,NONE
2026-05-18 22:08:58.283160,Heavy-Extruder-B,68.92,4.73,411.94,113.67,68.94,0,NONE
2026-05-18 22:10:58.283160,Heavy-Extruder-B,77.37,4.53,418.94,117.98,72.77,0,NONE
2026-05-18 22:12:58.283160,Stamping-Press-C,77.31,5.2,411.77,119.75,72.59,0,NONE
2026-05-18 22:14:58.283160,Heavy-Extruder-B,75.6,5.09,419.23,114.74,70.81,0,NONE
2026-05-18 22:16:58.283160,Stamping-Press-C,93.29,4.25,415.09,123.54,75.49,0,NONE
2026-05-18 22:18:58.283160,Cooling-Tower-D,83.06,4.82,412.39,137.27,83.34,0,NONE
2026-05-18 22:20:58.283160,Stamping-Press-C,82.35,4.47,418.09,102.86,63.31,0,NONE
2026-05-18 22:22:58.283160,Cooling-Tower-D,64.96,3.82,411.36,127.33,77.11,0,NONE
2026-05-18 22:24:58.283160,Cooling-Tower-D,91.35,5.53,418.19,122.58,75.47,0,NONE
2026-05-18 22:26:58.283160,Induction-Furnace-A,72.61,4.54,416.06,122.31,74.92,0,NONE
2026-05-18 22:28:58.283160,Stamping-Press-C,85.6,6.14,412.02,133.08,80.72,0,NONE
2026-05-18 22:30:58.283160,Induction-Furnace-A,87.77,3.2,417.64,120.74,74.24,0,NONE
2026-05-18 22:32:58.283160,Stamping-Press-C,98.61,4.05,417.73,127.2,78.23,0,NONE
2026-05-18 22:34:58.283160,Stamping-Press-C,71.91,4.53,420.79,130.74,80.99,0,NONE
2026-05-18 22:36:58.283160,Induction-Furnace-A,54.8,5.41,419.83,112.43,69.49,0,NONE
2026-05-18 22:38:58.283160,Induction-Furnace-A,86.84,4.82,417.46,124.49,76.51,0,NONE
2026-05-18 22:40:58.283160,Stamping-Press-C,103.01,4.75,409.36,116.24,70.05,0,NONE
2026-05-18 22:42:58.283160,Heavy-Extruder-B,97.39,3.6,427.24,118.01,74.23,0,NONE
2026-05-18 22:44:58.283160,Cooling-Tower-D,87.1,3.57,407.98,115.17,69.17,0,NONE
2026-05-18 22:46:58.283160,Induction-Furnace-A,80.08,4.76,419.75,127.07,78.52,0,NONE
2026-05-18 22:48:58.283160,Cooling-Tower-D,93.07,3.41,417.16,121.22,74.45,0,NONE
